,structure_name,structure_path,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
AFI.cif_10,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04805186944680658,0.5249856154479514,1.57050951065906,2.971491799335656,4.3368422455771425,5.255644838499771,5.741158906532024,5.968451105307819,6.0537475071665465,2.4744865278678247,0.3645004155065796,0.0006225269662295364,5.228777238961067,3.0438136211998574,3.0442959562461,0.7560961834706307,6.0,12.0861,1.0,2.0,1.54,45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_11,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04825793734219148,0.5260463060181431,1.5730567200850776,2.9781794790424176,4.343842823680019,5.25869666565727,5.740672531371143,5.965966542049104,6.0504574508893665,2.479741997190813,0.36535138859336524,0.0006279837578922971,5.2950345975651825,3.0656431914539746,3.0790405706304487,0.7614159313295873,6.000000000000001,12.0861,1.0,2.0,1.5400000000000003,45.0,-6.000000000000001,-12.0861,-1.0,2.0,1.5400000000000003,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_12,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.048084814353126296,0.5252656266860434,1.5745516100150334,2.978844168642181,4.339965581159271,5.254569837332521,5.737934944165323,5.964281792419325,6.049236082028138,2.4817690435164574,0.36466140652573276,0.0006234345856210913,5.248196705993797,3.067333452821416,3.041796106392791,0.7591656641236465,6.0,12.086100000000004,1.0,2.0,1.54,45.00000000000001,-6.0,-12.086100000000004,-1.0,2.0,1.54,-45.00000000000001,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_13,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.048156165740446406,0.5256228860955438,1.5746969767991992,2.9853060336354424,4.362627999396627,5.291757212032076,5.783612440122673,6.0140929513521,6.100622415263324,2.4846198241454913,0.36496490430595263,0.0006251161967906512,5.295453838426652,3.075417114979463,3.0693072471193044,0.7595194631474683,6.0,12.086099999999998,1.0,2.0,1.5399999999999998,45.0,-6.0,-12.086099999999998,-1.0,2.0,1.5399999999999998,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_14,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04841910447834243,0.5263152533972026,1.5594653214333916,2.909479661986416,4.207309685678599,5.076855510800518,5.535694719285431,5.750390564594125,5.830944699899786,2.4337671208910736,0.36583210560032675,0.0006324990098551776,4.904380187671028,2.9211646403099087,2.8975208728715582,0.7494044036521432,5.999999999999999,12.0861,1.0,2.0,1.5400000000000003,45.0,-5.999999999999999,-12.0861,-1.0,2.0,1.5400000000000003,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_15,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04808431217854524,0.5252703155386631,1.5747162587155272,2.9795143431334536,4.341200584931617,5.25617937202217,5.7397382378997115,5.966174730356463,6.051162484384729,2.4822411571763014,0.3646618167899509,0.0006234167579321629,5.251580889199892,3.0685914267406953,3.0432441176489284,0.759253193286853,6.0,12.086100000000002,1.0,2.0,1.54,45.00000000000001,-6.0,-12.086100000000002,-1.0,2.0,1.54,-45.00000000000001,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_16,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.048185486496535056,0.525773321276295,1.5750247757937863,2.9860778257452716,4.364010280890417,5.2936062041092935,5.785720380508961,6.0163245093427165,6.102900722058517,2.485206668369336,0.3650860923525445,0.0006258791296256569,5.298760540991481,3.0768869186876304,3.0711353807985096,0.7597882541529252,6.0,12.086100000000002,1.0,2.0,1.5400000000000003,45.0,-6.0,-12.086100000000002,-1.0,2.0,1.5400000000000003,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_17,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04843744424089551,0.5264083167005685,1.5595825733086592,2.909533915930842,4.207314056079337,5.076854207024538,5.535700663225791,5.750402354232099,5.830959085148107,2.4338468062817276,0.3659083832840021,0.0006329584612473878,4.904164560243816,2.9213464628778163,2.897270113332661,0.7494801233002449,6.000000000000001,12.086100000000002,1.0,2.0,1.5399999999999998,44.99999999999999,-6.000000000000001,-12.086100000000002,-1.0,2.0,1.5399999999999998,-44.99999999999999,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_18,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04854592892380247,0.5270629840781491,1.5644193095182004,2.939434739026193,4.28087455451484,5.185550841256558,5.664056969266951,5.888150876266462,5.9722587515995595,2.4519804259542637,0.3663809902975763,0.0006360075940234512,5.1104846121038925,2.9769478141928154,3.011359864332329,0.7528193831282136,5.986905242318688,12.059722574864649,0.997817540386448,1.995635080772896,1.53663901219513,44.901789317390154,-5.986905242318688,-12.059722574864649,-0.997817540386448,1.995635080772896,1.53663901219513,-44.901789317390154,0.0,0.0,0.0,2.0,1.54,0.0,-6.0,-12.0861,-1.0,0.0,0.0,-45.0
AFI.cif_19,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04805190881890043,0.5249855077244631,1.570505958321692,2.971481490303348,4.3368274658941095,5.2556282972504516,5.741141772693097,5.968433765855428,6.053730101753717,2.4744784491245673,0.364500441284074,0.0006225287764454907,5.228730075509916,3.043794695901912,3.044268867690251,0.7560923758973184,6.0,12.086100000000002,1.0,2.0,1.54,45.0,-6.0,-12.086100000000002,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_20,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04825793739792733,0.5260464090126288,1.573058576970301,2.978184946823473,4.343851080227273,5.258706379055095,5.740682907158835,5.965977205753891,6.050468219221568,2.4797462353687303,0.3653514229703808,0.0006279837578923297,5.2950623556232985,3.0656540035487128,3.079055672422937,0.7614178335944262,6.0,12.086099999999998,1.0,2.0,1.54,44.99999999999999,-6.0,-12.086099999999998,-1.0,2.0,1.54,-44.99999999999999,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_21,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.048553730672815744,0.5271032575895686,1.5645287158255323,2.9397640586540423,4.281475874756005,5.186336299470174,5.664937716786916,5.889075630330192,5.9731999154760285,2.4522190861287094,0.3664131667403372,0.0006362156017994228,5.1119087809727874,2.9776240441013253,3.011825012076054,0.7529040458972647,5.986904629506387,12.059721340446188,0.9978174382510644,1.9956348765021288,1.5366388549066392,44.901784721297894,-5.986904629506387,-12.059721340446188,-0.9978174382510644,1.9956348765021288,1.5366388549066392,-44.901784721297894,0.0,0.0,0.0,2.0,1.54,0.0,-6.0,-12.0861,-1.0,0.0,0.0,-45.0
AFI.cif_22,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.048034234833859865,0.5248901601151442,1.5702042449458449,2.970691634679344,4.335613815360702,5.254202148594451,5.739626147683598,5.966881318367759,6.052164638843244,2.473867472299017,0.364425767545393,0.0006220723282188271,5.2250038758673005,3.0422479337309833,3.04226950083428,0.7558180456337016,6.0,12.086099999999998,1.0,2.0,1.5400000000000003,45.00000000000001,-6.0,-12.086099999999998,-1.0,2.0,1.5400000000000003,-45.00000000000001,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_23,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04827032883818856,0.5261062243783426,1.573090177099134,2.978096092548531,4.343663734931136,5.258462584753252,5.740410824019636,5.9656920676018075,6.050178201210429,2.4796995154966766,0.36540178871519047,0.0006282978009452156,5.294493218940115,3.065471919071851,3.078823382504357,0.7614146058038099,5.999999880458628,12.086099759201836,0.9999999800764379,1.9999999601528757,1.5399999693177144,44.99999910343971,-5.999999880458628,-12.086099759201836,-0.9999999800764379,1.9999999601528757,1.5399999693177144,-44.99999910343971,0.0,0.0,0.0,2.0,1.54,0.0,-6.0,-12.0861,-1.0,0.0,0.0,-45.0
