,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
cifs/18150N2_10,1.0,1.00794,1.0,1.0,2.2,31.0,0.1409333447433105,0.49427053217056177,1.3952520773390116,3.0005196360428577,4.625519216581142,5.707236509741866,6.274061802019316,6.538348724883621,6.637359455819192,2.4119898457570397,0.38875973544220715,0.02018262382408544,9.484257736223016,2.748116756059172,5.810324689117936,0.2609237584206569,9.511117420027679,20.474085389311583,1.264427079874512,12.80168325150053,0.8337641514464913,45.64639342124968,9.511117420027679,20.474085389311583,1.264427079874512,12.80168325150053,0.8337641514464913,45.64639342124968,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_11,1.0,1.00794,1.0,1.0,2.2,31.0,0.13946851749961336,0.4688890549643486,1.1802053462414044,2.4890598298486233,3.945733282384188,4.9709182672743335,5.521832207823197,5.781494580239597,5.87920093903256,1.992965035712626,0.37614877477329095,0.019804955196030757,6.920373053652431,1.592598294649867,4.544052004660315,0.13276446509793052,9.808997674629998,21.15562333671767,1.3568415262767937,14.107144303096288,0.8366751715206834,50.44157105367735,9.808997674629998,21.15562333671767,1.3568415262767937,14.107144303096288,0.8366751715206834,50.44157105367735,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_12,1.0,1.00794,1.0,1.0,2.2,31.0,0.1354337136781162,0.5195057739926058,1.6243711184690266,3.537628575451437,5.375176362630514,6.562639226927646,7.176634593946837,7.4612829118708985,7.567674542909691,2.8498268174189,0.39788671142633186,0.018480683279631583,10.915522882380715,3.7000501697003942,6.604005908329015,0.580667362559584,5.4420633115065735,11.760667867523471,0.8192811656423469,9.881892305208961,0.5680667899152132,31.593029015293926,5.4420633115065735,11.760667867523471,0.8192811656423469,9.881892305208961,0.5680667899152132,31.593029015293926,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_13,1.0,1.00794,1.0,1.0,2.2,31.0,0.13812914958915493,0.482379073454281,1.3429439783691006,2.8993307457434945,4.490623790514846,5.5535330942792545,6.111135908740243,6.371230574303118,6.468685950478588,2.3260164975989204,0.3809087918257458,0.019409911121396117,8.964790564919664,2.5095208675856178,5.546526771169622,0.2246213100903471,9.551276389918174,20.56085778526553,1.271047504663469,12.899749632578656,0.8400187484764543,45.905629298171974,9.551276389918174,20.56085778526553,1.271047504663469,12.899749632578656,0.8400187484764543,45.905629298171974,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_14,1.0,1.00794,1.0,1.0,2.2,31.0,0.13715574334160385,0.48913318020455615,1.329834501230811,2.8472696207711357,4.458747473667079,5.563362341512641,6.150089994960631,6.425271558714838,6.528611598320265,2.281690981562901,0.3853807329127546,0.01902289220405825,8.51369573933127,2.217448764726561,5.355112186127588,0.19912113145634414,3.504314614968227,7.5598748821967146,0.5506075641523147,7.7968240771273285,0.5111622397359582,21.098197763424228,3.504314614968227,7.5598748821967146,0.5506075641523147,7.7968240771273285,0.5111622397359582,21.098197763424228,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_15,1.0,1.00794,1.0,1.0,2.2,31.0,0.13947574145589053,0.5104174142173177,1.5168181349950212,3.3908370017198903,5.312513179985058,6.589706159147172,7.257111839123687,7.5677925085867805,7.684098497574684,2.69790360005595,0.39704576051493734,0.01959736354780859,10.788471865974468,3.2257296526994605,6.66619066205216,0.4588580247558227,3.5724565558411387,7.747655652578233,0.6041057487305843,8.405302545685814,0.45944086405411383,24.42511963193521,3.5724565558411387,7.747655652578233,0.6041057487305843,8.405302545685814,0.45944086405411383,24.42511963193521,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_16,1.0,1.00794,1.0,1.0,2.2,31.0,0.14130784873717075,0.4777120058574552,1.2703014712041265,2.75697474061631,4.360668255412802,5.462781301224716,6.047982391774926,6.322317088248707,6.42531274184891,2.1981766691505795,0.3810996660862189,0.020328124752299462,8.36707360476281,2.014175875967517,5.468418059677735,0.19267980092294804,7.2034450455915975,15.54595348549796,0.98389440995628,9.487778350357353,0.5204110841940865,36.696323576714704,7.2034450455915975,15.54595348549796,0.98389440995628,9.487778350357353,0.5204110841940865,36.696323576714704,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_17,1.0,1.00794,1.0,1.0,2.2,31.0,0.13863815563879334,0.47589024680001873,1.2706719596713716,2.683282846113857,4.136430644215507,5.11420849670446,5.629269251736927,5.869984429161625,5.960251787762707,2.16265924006736,0.3783650062503093,0.01956573877621284,7.934037306956436,2.039085157681764,5.135626691582094,0.1960293349950189,9.202065526437204,19.80495549754902,1.219114281292022,12.334825078045744,0.8121024133117142,43.87902841363078,9.202065526437204,19.80495549754902,1.219114281292022,12.334825078045744,0.8121024133117142,43.87902841363078,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_18,1.0,1.00794,1.0,1.0,2.2,31.0,0.1400129822964707,0.5332154539062397,1.5136427040092992,3.244358561068603,5.028649590472575,6.228908645375518,6.86056291217749,7.155585940251143,7.266186298789443,2.6059565103891886,0.41349218243653996,0.019268666155478387,10.447138765618275,3.2273073292591197,6.424224939484439,0.44279594640436903,8.602007803640545,18.554751692509402,1.166918297154299,11.305740197204917,0.6411312998844435,43.23347639637134,8.602007803640545,18.554751692509402,1.166918297154299,11.305740197204917,0.6411312998844435,43.23347639637134,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_19,1.0,1.00794,1.0,1.0,2.2,31.0,0.12277038057310484,0.5411581688138314,1.7281570719048331,3.782296565729971,5.850888551562143,7.233059455323186,7.959373716437062,8.298500189490065,8.42562487506997,3.0330717164055883,0.4049401666122571,0.014684445459518644,12.413388048905933,4.4423590678958345,7.230596945560384,0.7026079834723427,4.9881224069289685,10.795538516337878,0.784302350756976,9.950009878936191,0.5518627653313367,30.862917810501866,4.9881224069289685,10.795538516337878,0.784302350756976,9.950009878936191,0.5518627653313367,30.862917810501866,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_20,1.0,1.00794,1.0,1.0,2.2,31.0,0.1372863137314595,0.5462869106135152,1.767973258651362,3.9050749271158143,5.992464591884685,7.353536090119344,8.059708956633681,8.387509958478613,8.51008947022936,3.1321049109364982,0.4133578175807993,0.01886867109827328,12.813788896206907,4.543263164493578,7.724914223617684,0.9273096620348725,3.887004829513706,8.447994430023954,0.6749098319283221,9.286283484940284,0.46719473609181594,27.808664087414012,3.887004829513706,8.447994430023954,0.6749098319283221,9.286283484940284,0.46719473609181594,27.808664087414012,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_21,1.0,1.00794,1.0,1.0,2.2,31.0,0.13941883606445682,0.4969920807400215,1.4678372017112105,3.2953086706189967,5.179386756981481,6.434527300390532,7.090992238895566,7.396684839323696,7.511138634790139,2.618013020902044,0.3887300511290483,0.019739356962309846,10.72403713377193,3.1936896013529177,6.612174336171887,0.3715263542050742,7.355530977112437,15.869537808593375,1.033187163821962,11.065782998910043,0.6503587634491046,38.6771777180101,7.355530977112437,15.869537808593375,1.033187163821962,11.065782998910043,0.6503587634491046,38.6771777180101,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
